FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1DateStart,Season1DateEnd,Season1Time 1,Season1Time 2,Season1Time 3,Season1Time 4,Season1Time 5,Season1Time 6,Season1Time 7,Season1Time 8,Season2DateStart,Season2DateEnd,Season2Time 1,Season2Time 2,Season2Time 3,Season2Time 4,Season2Time 5,Season2Time 6,Season2Time 7,Season2Time 8,Season3DateStart,Season3DateEnd,Season3Time 1,Season3Time 2,Season3Time 3,Season4DateStart,Season4DateEnd,Season4Time 1,Season4Time 2,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1018261,Caledonia Farmers Market Association - Danville,https://www.caledoniafarmersmarket.com,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,,Danville,Caledonia,Vermont,05828,2020-10-06T00:00:00Z,2020-07-10T00:00:00Z,Wed: 9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-72.140337,44.411036,,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,2020-03-08T03:23:12Z
1009994,18th Street Farmer's Market,,https://www.facebook.com/ScottsbluffFarmersMarket,,,,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361,2021-05-06T00:00:00Z,2021-05-06T00:00:00Z,Sat: 8:00 AM-11:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,-103.662538,41.864268,,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,2022-06-02T02:37:26Z
1000709,26th Annual Highlands Business Partnership's Farmers Market,http://www.highlandsnj.com,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,,,visithighlandsnj - Instagram,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,07732,2020-06-06T00:00:00Z,,Sat: 8:30 AM-2:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.994358,40.404837,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,2020-10-09T03:25:18Z
1019956,29 Palms Farmers' Market,,https://www.facebook.com/29palmsfarmersmarket/,,,IG @29palmsfarmersmarket,73484 Twentynine Palms Hwy,Twentynine Palms,San Bernardino,California,92277,2020-01-01T00:00:00Z,2020-01-01T00:00:00Z,Sat: 8:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-116.058946,34.135760,,Y,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,2022-01-01T05:15:12Z
1009959,2nd Street Market - Five Rivers MetroPark,http://www.metroparks.org,https://www.facebook.com/2ndStreetMarket/,,,,600 E. 2nd Street,Dayton,Montgomery,Ohio,45402,2018-01-01T00:00:00Z,2020-07-05T00:00:00Z,Thu: 11:00 AM-3:00 PM,Fri: 11:00 AM-3:00 PM,Sat: 8:00 AM-3:00 PM,,,,,,2018-01-06T00:00:00Z,2020-07-12T00:00:00Z,Thu: 11:00 AM-3:00 PM,Fri: 11:00 AM-3:00 PM,Sat: 8:00 AM-3:00 PM,Sun: 11:00 AM-3:00 PM,,,,,,,,,,,,,,-84.181030,39.762593,,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,2020-02-07T04:26:56Z
1004950,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,,,,123 W. Illinois ave.,Morris,Grundy,Illinois,60450,2018-12-05T00:00:00Z,2019-01-10T00:00:00Z,Sat: 8:00 AM-2:00 PM,,,,,,,,2018-09-11T00:00:00Z,2018-10-11T00:00:00Z,Fri: 4:00 PM-10:00 PM,Sat: 10:00 AM-3:00 PM,,,,,,,,,,,,,,,,-88.425186,41.356383,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,2020-02-07T04:22:44Z
1019938,3rd Day Farmer's Market,http://www.3rddayfarm.com,facebook/ 3rd Day Farm,,,,3234 S. LaChance Rd,Lake City,Missaukee,Michigan,49651,,,Tue: 10:00 AM-5:00 PM,Wed: 10:00 AM-5:00 PM,Thu: 10:00 AM-5:00 PM,Fri: 10:00 AM-5:00 PM,Sat: 10:00 AM-3:00 PM,,,,,,,,,,,,,,,,,,,,,,,-85.296147,44.292952,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,N,N,Y,2022-01-06T11:53:13Z
1018965,61st Street Farmers Market,https://experimentalstation.org/market,61market,https://twitter.com/61market,,Instagram:,6100 S. Blackstone Ave,Chicago,Cook,Illinois,60637,2018-12-05T00:00:00Z,2019-03-12T00:00:00Z,Sat: 9:00 AM-2:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.5905914,41.7840790,,Y,N,N,N,Y,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,2019-11-02T04:18:31Z
1009004,A Growers' Market,,,,,,229 Lake Ella Drive,Tallahassee,Leon,Florida,32303,2018-01-01T00:00:00Z,2020-07-12T00:00:00Z,Wed: 12:00 PM-6:00 PM,Sat: 11:00 AM-3:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,-84.279874,30.461953,,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,2020-05-07T12:47:57Z
1019473,Aberdeen Sunday Market,http://www.aberdeensundaymarket.org,Facebook.com/AberdeenSundayMarket,,,,Broadway between Heron & State St,Aberdeen,Grays Harbor,Washington,98520,2021-02-05T00:00:00Z,2020-03-09T00:00:00Z,Sun: 10:00 AM-3:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-123.816413,46.972973,,Y,Y,N,Y,Y,-,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,2020-02-04T08:55:10Z
